 ID, parentID, startX, startY, startZ, endX, endY, endZ, radius, length, growthLength, averagePointDistance,segmentID, parentSegmentID, branchOrder, reverseBranchOrder, branchID
0,-1,0.760564,-16.356802,253.888632,0.759141,-16.360725,253.938184,0.047199,0.049728,31.426363,0.005887,0,-1,0,18,0
1,0,0.759141,-16.360725,253.938184,0.770509,-16.352048,253.989151,0.047917,0.052935,31.376635,0.003778,0,-1,0,18,0
2,1,0.770509,-16.352048,253.989151,0.767979,-16.349943,254.042571,0.046922,0.053521,31.3237,0.002054,0,-1,0,18,0
3,2,0.767979,-16.349943,254.042571,0.765366,-16.350526,254.094959,0.046662,0.052456,31.270179,0.002455,0,-1,0,18,0
4,3,0.765366,-16.350526,254.094959,0.768944,-16.35054,254.147591,0.045336,0.052753,31.217722,0.002515,0,-1,0,18,0
5,4,0.768944,-16.35054,254.147591,0.770011,-16.346242,254.198169,0.044284,0.050771,31.164969,0.00193,0,-1,0,18,0
6,5,0.770011,-16.346242,254.198169,0.772146,-16.343648,254.248974,0.044439,0.050916,31.114198,0.002445,0,-1,0,18,0
7,6,0.772146,-16.343648,254.248974,0.770275,-16.341602,254.300175,0.043568,0.051276,31.063282,0.001896,0,-1,0,18,0
8,7,0.770275,-16.341602,254.300175,0.771283,-16.336912,254.349505,0.042704,0.049562,31.012005,0.001684,0,-1,0,18,0
9,8,0.771283,-16.336912,254.349505,0.76576,-16.333287,254.399043,0.04236,0.049976,30.962443,0.002181,0,-1,0,18,0
10,9,0.76576,-16.333287,254.399043,0.766623,-16.331385,254.448239,0.041406,0.049241,30.912467,0.002413,0,-1,0,18,0
11,10,0.766623,-16.331385,254.448239,0.768279,-16.330844,254.495172,0.041408,0.046965,30.863226,0.002681,0,-1,0,18,0
12,11,0.768279,-16.330844,254.495172,0.770089,-16.332645,254.543507,0.040839,0.048403,30.816261,0.001897,0,-1,0,18,0
13,12,0.770089,-16.332645,254.543507,0.770831,-16.329614,254.590896,0.041393,0.047491,30.767858,0.002752,0,-1,0,18,0
14,13,0.770831,-16.329614,254.590896,0.772074,-16.326953,254.639288,0.041273,0.048481,30.720367,0.002413,0,-1,0,18,0
15,14,0.772074,-16.326953,254.639288,0.776548,-16.323993,254.684847,0.04237,0.045873,30.671886,0.00297,0,-1,0,18,0
16,15,0.776548,-16.323993,254.684847,0.779595,-16.325501,254.73219,0.041634,0.047465,30.626012,0.002519,0,-1,0,18,0
17,16,0.779595,-16.325501,254.73219,0.778619,-16.324111,254.781592,0.041037,0.049431,30.578547,0.002487,0,-1,0,18,0
18,17,0.778619,-16.324111,254.781592,0.780893,-16.320896,254.828719,0.040697,0.047292,30.529116,0.002458,0,-1,0,18,0
19,18,0.780893,-16.320896,254.828719,0.784795,-16.317337,254.876394,0.039344,0.047966,30.481825,0.002074,0,-1,0,18,0
20,19,0.784795,-16.317337,254.876394,0.782559,-16.311144,254.922387,0.03929,0.046462,30.433858,0.002259,0,-1,0,18,0
21,20,0.782559,-16.311144,254.922387,0.782579,-16.307816,254.967451,0.038703,0.045187,30.387396,0.001781,0,-1,0,18,0
22,21,0.782579,-16.307816,254.967451,0.783071,-16.300902,255.012691,0.038331,0.045767,30.342209,0.00234,0,-1,0,18,0
23,22,0.783071,-16.300902,255.012691,0.784397,-16.294829,255.056833,0.037998,0.044578,30.296442,0.002024,0,-1,0,18,0
24,23,0.784397,-16.294829,255.056833,0.784437,-16.291462,255.101067,0.03823,0.044362,30.251864,0.002694,0,-1,0,18,0
25,24,0.784437,-16.291462,255.101067,0.787046,-16.28475,255.146021,0.037987,0.045527,30.207502,0.002373,0,-1,0,18,0
26,25,0.787046,-16.28475,255.146021,0.791923,-16.279669,255.189777,0.039289,0.044319,30.161975,0.00297,0,-1,0,18,0
27,26,0.791923,-16.279669,255.189777,0.804253,-16.274945,255.231498,0.042914,0.043761,30.117656,0.005892,0,-1,0,18,0
28,27,0.804253,-16.274945,255.231498,0.786733,-16.269111,255.283806,0.036944,0.055472,28.148864,0.005599,1,0,0,17,0
29,28,0.786733,-16.269111,255.283806,0.784084,-16.268834,255.327407,0.036546,0.043681,28.093392,0.003766,1,0,0,17,0
30,29,0.784084,-16.268834,255.327407,0.787762,-16.262098,255.370843,0.035949,0.044109,28.04971,0.002257,1,0,0,17,0
31,30,0.787762,-16.262098,255.370843,0.785916,-16.255572,255.414648,0.036398,0.044327,28.005601,0.002286,1,0,0,17,0
32,31,0.785916,-16.255572,255.414648,0.786221,-16.24999,255.457143,0.036666,0.042861,27.961274,0.002472,1,0,0,17,0
33,32,0.786221,-16.24999,255.457143,0.78791,-16.249564,255.50146,0.036278,0.044351,27.918413,0.001994,1,0,0,17,0
34,33,0.78791,-16.249564,255.50146,0.783742,-16.241701,255.543151,0.036628,0.042631,27.874062,0.002232,1,0,0,17,0
35,34,0.783742,-16.241701,255.543151,0.782429,-16.246103,255.584816,0.040074,0.041917,27.831431,0.004321,1,0,0,17,0
36,35,0.782429,-16.246103,255.584816,0.787595,-16.239294,255.628394,0.040212,0.044408,27.63933,0.005309,2,1,0,16,0
37,36,0.787595,-16.239294,255.628394,0.800343,-16.228452,255.6691,0.042955,0.044012,27.594923,0.00712,2,1,0,16,0
38,37,0.800343,-16.228452,255.6691,0.791652,-16.231617,255.721419,0.041531,0.05313,22.650713,0.005268,3,2,0,15,0
39,38,0.791652,-16.231617,255.721419,0.774798,-16.197064,255.759806,0.035238,0.054328,12.108559,0.006183,4,3,0,14,0
40,39,0.774798,-16.197064,255.759806,0.752203,-16.181012,255.798318,0.028552,0.047449,11.956551,0.004519,5,4,0,13,0
41,40,0.752203,-16.181012,255.798318,0.739449,-16.178599,255.835397,0.025286,0.039285,11.764022,0.002453,6,5,0,12,0
42,41,0.739449,-16.178599,255.835397,0.734779,-16.172431,255.870071,0.02492,0.035526,11.724737,0.003456,6,5,0,12,0
43,42,0.734779,-16.172431,255.870071,0.728172,-16.161264,255.902326,0.02595,0.034767,11.689211,0.002793,6,5,0,12,0
44,43,0.728172,-16.161264,255.902326,0.717327,-16.151312,255.9302,0.030286,0.031521,11.654444,0.005799,6,5,0,12,0
45,44,0.717327,-16.151312,255.9302,0.723029,-16.153517,255.97324,0.025587,0.043472,11.081936,0.003116,7,6,0,11,0
46,45,0.723029,-16.153517,255.97324,0.715736,-16.149917,256.00783,0.025033,0.035534,11.038464,0.002416,7,6,0,11,0
47,46,0.715736,-16.149917,256.00783,0.70497,-16.151575,256.036771,0.029545,0.030923,11.00293,0.005788,7,6,0,11,0
48,47,0.70497,-16.151575,256.036771,0.700896,-16.136941,256.074242,0.02546,0.040433,10.823239,0.014578,8,7,0,10,0
49,48,0.700896,-16.136941,256.074242,0.699335,-16.132009,256.108015,0.026308,0.034167,10.782806,0.003254,8,7,0,10,0
50,49,0.699335,-16.132009,256.108015,0.685633,-16.116564,256.136815,0.028159,0.035436,10.74864,0.003398,8,7,0,10,0
51,50,0.685633,-16.116564,256.136815,0.675958,-16.100047,256.162733,0.03135,0.03222,10.713203,0.006219,8,7,0,10,0
52,51,0.675958,-16.100047,256.162733,0.706872,-16.087265,256.200709,0.020772,0.050609,6.15837,0.006803,9,8,0,9,0
53,52,0.706872,-16.087265,256.200709,0.716127,-16.075008,256.226586,0.021171,0.030092,6.107761,0.00286,9,8,0,9,0
54,53,0.716127,-16.075008,256.226586,0.71866,-16.059939,256.256607,0.019853,0.033685,6.077669,0.004452,9,8,0,9,0
55,54,0.71866,-16.059939,256.256607,0.720617,-16.048423,256.283359,0.020183,0.029192,6.043984,0.002245,9,8,0,9,0
56,55,0.720617,-16.048423,256.283359,0.726434,-16.034652,256.31106,0.019947,0.031477,6.014792,0.001779,9,8,0,9,0
57,56,0.726434,-16.034652,256.31106,0.72946,-16.02492,256.338917,0.020776,0.029663,5.983315,0.002117,9,8,0,9,0
58,57,0.72946,-16.02492,256.338917,0.731685,-16.014115,256.366403,0.021102,0.029617,5.953652,0.002346,9,8,0,9,0
